,,,,Pump Price Rs/ Liter,,,,,
S.No,Customer Name,Address,City/Location,HSD,PMG,District,District 1,Province,Province
5068,FAISAL TOWN F/S,"78-79 L, MODEL TOWN EXT.",,127.75,117.09,,,Missing,Sindh
4984,BOOTA FILLING STATION,PSO DEALER MOUZA QILAGHAUS SHIKARPUR ROAD7&8 FROM,,127.75,117.09,shikarpur,,Sindh,Sindh
4991,KANWAR FILLING STATION,PSO DEALER AT MOUZAMORE 61-62 FROM,,127.75,117.09,,,Missing,Sindh
4993,RAZA F/S,PSO DEALERS. MOUZASHIRIAN CHANGHAR BWKM-11&12 FROM,,127.75,117.09,Nankana Sahib,,Punjab,Sindh
4995,GOLDEN STAR S/S,"PSO DEALER, BW KM-1187& 1188 FROM",,128.31,117.65,,,Missing,Sindh
5051,RELISH AGRIMALL,MURIDKEY ROAD 1 & 2 KM FROM,,127.75,117.09,Sheikhupura,,Punjab,Sindh
6127,FARAN F/S.,RMK ROAD GHORA GALI,,128.29,117.63,Rawalpindi,,Punjab,Sindh
4181,POLICE WELFARE,POLICE LINES SHAHKAR GARH,,128.12,117.46,Narowal,,Punjab,Sindh
5265,SAHAR-E-NOW PET SER,SEETPUR ALIPURMUZZAFAR GARH,,127.88,117.22,Muzaffargarh,,Punjab,Sindh
5276,WAJID P/S,ALI.PUR SULTAN PURVIA KHAIR PURMUZAFFAR GARH,,128.24,117.58,Muzaffargarh,,Punjab,Sindh
5379,MIAN IMRAN P/S,MOUZA BASTI JAN CHOWK QURESHI JATOI ROAD MUZAFFAR GARH,,127.75,117.09,Muzaffargarh,,Punjab,Sindh
5692,BEHRAM FILLING STATION,KOHAT RAWALPINDI ROAD NEAR KHUSHAL GARH,,128.13,117.47,Kohat,,KPK,Sindh
4362,SHAN PETROLEUM SERVICE,KM52/53 HYDERABAD /MIRPURKHAS ROAD AT KHOWAJA GOTH,,128.72,118.06,Tando Allahyar,,Sindh,Sindh
4831,HUB GASOLINE SERVICE,RCD HIGHWAY MOACH GOTH,,127.75,117.09,karachi,,Sindh,Sindh
6630,MIDWAY F/S,SITUATED ON G.T ROAD NEAR MEPCO GRID,,127.75,117.09,Multan,,Punjab,Sindh
4170,MEHBOOB FILL STATION,KM4/5 GRW/ALIPUR HATTA  RD MOUZA GONDLANWALA  GUJR,,127.77,117.11,Gujranwala,,Punjab,Sindh
7614,LATIF & COMPANY,18 19 20 NATIONAL HIGHWAY,HALA,127.89,117.23,,,Missing,Sindh
7637,MAKHDOOM FAZAL FILLING STATION,348 DEH HALA NATIONAL HIGHWAY,HALA,127.89,117.23,,,Missing,Sindh
9191,SARWARI PETROLEUM SERVICE,"SURVEY NO.352, DEH HALA",HALA,88.46,79.02,Matiari,,Sindh,Sindh
4292,HALA PETROL SERVICE,NATIONAL HIGHWAY HALA,,127.89,117.23,Matiari,,Sindh,Sindh
4368,SARWARI PET SERVICE,"KM # 8/9 HALA SHAHDAD PUR, ROAD CHAUDGI NEAR HALA",,127.89,117.23,Matiari,,Sindh,Sindh
4408,JAWAID PET SERVICE,"KM-221/222 N.H.WAY, DUAL CARRIGE WAY NEAR HALA",,127.87,117.21,Matiari,,Sindh,Sindh
4280,ALI BROS USMANSHAHURI,AT USMAN SHAH HURI,,128.96,118.30,Tando Allahyar,,Sindh,Sindh
6234,SHOIB P/S,"SHIKARPUR ROAD, THULLDISTRICT JACO",,127.78,117.12,Jacobabad ,,Sindh,Sindh
7534,J & W FILLING STATION,90/1-3 JHOL TO SANGHAR ROAD,JHOL,128.23,117.57,Sanghar,,Sindh,Sindh
4262,JAMALI  P/S,JOHI DADU ROAD AT JOHI,,127.75,117.09,Dadu,,Sindh,Sindh
4413,SUPER JAMALI,JOHI/ DADU ROAD AT JOHI,,127.75,117.09,Dadu,,Sindh,Sindh
5571,CHINAR FILL STATION,PARACHINAR-TARIMSNGAL RD. AT SHALOZAN  K.A.,,129.61,118.95,Kurram,,KPK,Sindh
4322,IMRAN PET SERVICE,0/1MILE SIKANDAR ABAD TO KHUNDO ROAD DEH KAKA,,127.85,117.19,,,Missing,Sindh
4856,IMDAD F/S,PSO DEALER BW KM 6-7AT HANDIAL ON KRK/KSRROAD KASU,,127.75,117.09,kasur,,Punjab,Sindh
4381,A.RAHIM SATHIO P/SERV.,MILE 1/1 TANDO MOHD.KHAN/SUJAWAL ROAD  TANDO MOHD KHAN,,128.80,118.14,Tando Muhammad Khan,,Sindh,Sindh
4468,SAMNANI PET.SERVICE,KM 12/13 ON MULLA KATYAR TO TANDO MUHAMMAD KHAN,,128.80,118.14,Tando Muhammad Khan,,Sindh,Sindh
5156,JALBANI P/S,IN KM #-1 FROM PATHAR BAZAR ON KANGAN ROAD (RAILWAY ROAD) AT MOUZA D.G KHAN,,127.76,117.10,Dera Ghazi Khan,,Punjab,Sindh
5185,FAISAL TRUCKING STN,SAKHISARWAR ROADD G KHAN,,127.75,117.09,Dera Ghazi Khan,,Punjab,Sindh
5192,WAQAS PET SERVICE,KM-139-M-GARH BAWATAFORT MANRO RD MUNROD G KHAN,,128.68,118.02,Dera Ghazi Khan,,Punjab,Sindh
5205,KHITRAN PET SER,MAUZA MAKWAL KALAND G KHAN,,127.94,117.28,Dera Ghazi Khan,,Punjab,Sindh
5233,AL-MATEEN PET SERVICE,KM NO53 M.GARH BEWALARD MAUZA SIKHA DG. KHAN,,127.75,117.09,Dera Ghazi Khan,,Punjab,Sindh
5329,M/S NASEEM F/S,ON KHANEWAL LAHOREROAD AT CHAK NO 79/10RDISTT KHAN,,127.75,117.09,KHANEWAL,,Punjab,Sindh
5407,HASSAN P/S,181-A Kot Chutta 03 Dera Ghazi Khan,,127.75,117.09,Dera Ghazi Khan,,Punjab,Sindh
5418,PAKISTAN P/S,NDUS HIGHWAY MOUZA QABOOL SHAH TEHSIL & DIS DG KHAN,,127.84,117.18,Dera Ghazi Khan,,Punjab,Sindh
6640,JAHANGIR KAYANI F/S.,KM-9 NOORSHAH GOJER ADDA BURJ JEWEY KHAN,,127.75,117.09,,,Missing,Sindh
6987,LASHARI CNG AND PET SERVICE,CHOWK BAHDUROUR BY PASS RAHIM YAR KHAN,,129.05,118.39,Rahim Yar Khan,,Punjab,Sindh
250,KOHINOOR FILLING STATION,"Mouza Khar, at 38KM from Temergara, on Temergara-Mehmond Agency Road, Khar, Bajour Agency",khar,87.37,78.74,Bajaur ,,KPK,Sindh
6978,KOHINOOR FILLING STATION,"Mouza Khar, at 38KM from TemergaraMehmond Agency Road, Bajour Agency",khar,128.24,117.58,Bajaur ,,KPK,Sindh
7184,SOHAIB  PETROLEUM,"Mouza Loysum on Nawagai Road, Tehsil Khar,Bajour Agency Distt Nowshera",khar,128.14,117.48,Nowshera ,,KPK,Sindh
4272,GHANI BROTHERS,PSO  RETAIL DEALER-UMARKOT ROAD AT MIRPUR KHAS,,129.13,118.47,mirpurkhas,,Sindh,Sindh
5589,AFTAB PET SERVICE,ISMAIL KHEL,,127.75,117.09,Nowshera ,,KPK,Sindh
5670,Zamzam Waziristan F/S,KOHAT-BANNU RD GADA KHEL,,128.02,117.36,Kohat,,KPK,Punjab
7611,LARH FILLING STATION,MULTAN ROAD,LARH,127.76,117.11,Multan,,Punjab,KPK
5768,SAMI PET SERVICE,B/W MILE3&4LORALAI  SANJAUI ROAD LORA,,127.26,116.60,Loralai,,Balochistan,KPK
5166,AL-MUSTAFA P/S,KM NO.837 ON PAKISTANH/WAY SEC. PUNJNADALIPUR M.GA,,128.16,117.50,Muzaffargarh,,Punjab,Punjab
6632,BILAL FILLING STATION,SITUATED ON 90/5-R HAROONABAD MAIN,,128.24,117.58,BAHAWALNAGAR,,Punjab,Punjab
5277,SALEEMI F/S,MULTAN BYE PASSAT MOUZA SEETAL MARI,,127.75,117.09,Multan,,Punjab,Punjab
5328,SHAHZADA WAZIRISTANP/S,SHAHZADA WAZIRISTANP/SON DG KHAN DI KHAN RDAT MAUZ,,127.83,117.17,Waziristan,,KPK,Punjab
6272,KHAIRPUR AUTOMOBILES,PSO  RETAIL DEALERKHAIRPUR MIRS,,127.75,117.09,Khairpur ,,Sindh,Punjab
4302,BILAL PETROLEUM SER,MILE-7-8 DIGRI-JHUDO ROAD-TANDO JAN MOHD,,129.16,118.50,mirpurkhas,,Sindh,Punjab
4205,MIDWAY FILLING STATION,KM 9/10 DASKA GUJRANWALA ROAD GULIATIAN MORE,,127.84,117.18,SIALKOT,,Punjab,Punjab
5061,GUJRAT P/s,"BLOCK-A, PLOT # 44, SABZAZAR ROAD, SCHEME MORE",,127.75,117.09,Lahore,,Punjab,Punjab
8868,Adnan FS,"Survey No.522 Dec, Moro Taluka, Moro District, Naushahro Feroz.",,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
6699,ABBASIA TRUCKING STATION,"Servery No. 475, Situated in Deh Moro & Taluka Mo",Moro,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
7426,DOST TAJ PETROEUM SERVICE,81/1 81/2 NATIONAL HIGHWAY,MORO,127.76,117.11,,,Missing,Punjab
7944,SUPER JAMALI TRUCKING STATION,MAIN NATIONAL HIGHWAY,MORO,127.76,117.11,,,Missing,Punjab
9210,NADAR TRUCKING STATION,KLP ROAD N-5 MORO,MORO,88.30,78.87,Naushahro Feroze,,Sindh,Punjab
4256,FAROOQ PETROLEUM SERVICE,SURVEY NO.245 WARD#.2 DARIS RD TALUKA MORO,,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
4379,AL-MADINA PET.SERVICE,318/319 ON .N.H.WAYAT BY PASS MORO,,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
4404,NEW ALI TRUCK. STATION,KM 323/324 N.H/WAY DEH WAD PAGIA TALUKA MORO,,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
4450,AL - MUSTAFA TRUCKING STATION,"B/W KMS 323-324, ON NATIONAL HIGHWAY NEAR MORO",,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
5325,PSO S/S 54 (SHAHARYAR),(COCO SITE) MULTANBYE PASS AT MOUZ,,127.75,117.09,Multan,,Punjab,Punjab
5370,MULTAN TRUCKING STN,KM 930/931 ON MULTAN BYPASS AT MAUZA HAMIDPUR KANORA NEAR,,127.75,117.09,Multan,,Punjab,Punjab
4807,HUR SERVICE STATION,NEAR GHAZI CHOWK KORANGI NO.2,,127.75,117.09,karachi,,Sindh,Punjab
6644,NOKON PETROLEUM,SITUATED ON KACHA PACCA NOOR,,127.75,117.09,sahiwal,,Punjab,Punjab
3990,GILL F/S.,SAMUNDARI BY PASS,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4194,FAZAL QADIR F/S,HAFIZABAD BYE PASS,,127.75,117.09,Hafizabad,,Punjab,Punjab
4336,RIAZ TRUCKING STATION,KM # 13-14  HYDERABAD BYE PASS,,128.53,117.87,hyderabad,,Sindh,Punjab
4421,MOAZZAM P/S.,AT DIGRI BY PASS,,129.28,118.62,mirpurkhas,,Sindh,Punjab
4446,AMAR T/S,TANDO ALLAH YAR BY PASS,,128.42,117.76,Tando Allahyar,,Sindh,Punjab
5376,MODEL TOWN F/S,NORTHERN BYE PASS,,127.75,117.09,karachi,,Sindh,Punjab
6389,FARAZ F/S,SHIKARPUR BY PASS,,127.75,117.09,shikarpur,,Sindh,Punjab
6626,AL-FAZAL PET SERVICE,BAHWALNAGAR HAROONABAD BY PASS,,127.85,117.19,BAHAWALNAGAR,,Punjab,Punjab
6146,HABIB FILLING STATION,"BAHRIA TOWN, SAFARI VALLEY, PH-8",,127.75,117.09,Rawalpindi,,Punjab,Punjab
5382,SUPREME P/S,"GARDEZI MORE, MOUZA GOPAL PUR,",,127.75,117.09,,,Missing,Punjab
5279,NASRULLAH P/S,HAJI PUR CHOWKRAJAN PUR.,,128.55,117.89,rajanpur,,Punjab,Punjab
5710,MALIK TAJ FILLING STATION,BARA JAMRUD ROAD NEAR TAKHTA BEING CHOWK AT KAHNDAD QILA,,127.75,117.09,Khyber,,KPK,Punjab
4773,KHAN,PL#35  SEC 2 ST#1 BEWA QTRS,,127.75,117.09,,,Missing,Punjab
4992,ARAYIN F/STATION,"PSO DEALERS,MOUZA RAJAJANG ON RAIW",,127.75,117.09,kasur,,Punjab,Punjab
5336,FRIENDS P/S,KM NO 24/25 RAJAN PUR MOUZA FAZALPUR RAJANPUR RAJA,,128.36,117.70,rajanpur,,Punjab,Punjab
6133,AL-HUSSAIN F/S.,KHAIGALLA - HAJIRA RAOD,,127.26,116.60,Poonch AJK,,AJK,Punjab
6373,RAJA P/S,NAUSHAHRO BYPASS RAOD,,127.75,117.09,Naushahro Feroze,,Sindh,Punjab
5000,RANA JAVED T/S(PSO DEA,BW KM-49/50 FROM LHRON MN/LHR RDAT,,127.75,117.09,Lahore,,Punjab,Punjab
3987,KHAWAJA PET. SER,FAISALABAD-LAHORE BYPASS ROAD,,127.91,117.25,Lahore,,Punjab,Punjab
3992,SHAKAR GANJH P/S,PIR MEHAL KAMALIA ROAD,,127.75,117.09,Toba Tek Singh,,Punjab,Punjab
3996,MUKHTAR F/S.,MOUZA MANGNI SARGODHA LAHORE ROAD,,127.91,117.25,sargodha,,Punjab,Punjab
3999,PAKISTAN PETROLEUM SER,WEST CANAL ROAD,,127.75,117.09,,,Missing,Punjab
4000,BISMILLAH TRADERS PET. SERVICE,"CHAK NO.69-RB, SHEIKHUPURA FSD ROAD",,127.75,117.09,FAISALABAD,,Punjab,Punjab
4002,ABBAS F/S,"CHAK # 266, KHURRIAN WALA-CHINIOT ROAD",,127.75,117.09,Jhang,,Punjab,Punjab
4004,ALI PET SERVICE,TANDLIANWALA-MAMU KANJAN ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4005,COOKI CO F/S,"SATTANA BANGLA, SATYANA ROAD",,127.75,117.09,FAISALABAD,,Punjab,Punjab
4009,PUNJAB F/S,"CHAK # 214 RB, P-60 SATIANA ROAD",,127.75,117.09,FAISALABAD,,Punjab,Punjab
4010,AL - SHAHBAZ F/S,SARGODHA BHALWAL ROAD,,128.13,117.47,Sargodha,,Punjab,Punjab
4011,AL-RAHIM CNG & F/s,KASHMIR BRIDGE MADINA TOWN EAST CANAL ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4012,HASAN HASHIM F/S,CHAK #70 J.B FAISALABAD JHANG ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4014,ZAIN KHAN F/S,NEHANG JHANG SARGODHA ROAD,,128.16,117.50,sargodha,,Punjab,Punjab
4015,BHULLAR P/S,CHAK #.208 GB GOJRA KHIDERWALA ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4029,HAMDANI FILLING STATION,MIANI MALAKWAL ROAD,,128.31,117.65,Mandi Baha-ud-Din,,Punjab,Punjab
4034,SPEED BIRD F/S.,JARANWALA ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4035,CHAN F/S.,SHAHPUR BEHRA ROAD,,128.53,117.87,sargodha,,Punjab,Punjab
4040,FIVE STAR F/S.,CHAK # 200 RB SHEIKHUPURA ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
4067,SHAHEEN FILLING STATION,"49- TAIL, 52/8 FAISALABAD ROAD",,127.91,117.25,sargodha,,Punjab,Punjab
4174,RANA FAISAL,G.T ROAD,,127.75,117.09,,,Missing,Punjab
4176,MUSA F/S.,SIALKOT PASRUR ROAD,,127.86,117.20,SIALKOT,,Punjab,Punjab
4179,NASIR FILLING STATION,SKT-PASROOR ROAD,,128.04,117.38,SIALKOT,,Punjab,Punjab
4180,SUPER ASIA,G.T ROAD  NEAR SADHOKE ON GUJRANWALA LAHORE ROAD,,127.92,117.26,Gujranwala,,Punjab,Punjab
4182,KHURRAM F/S,RAILWAY ROAD,,127.86,117.20,,,Missing,Punjab
4188,WAQAR FILL STATION,KM-8/9 GRWISKT ROAD,,127.83,117.17,,,Missing,Punjab
4189,PK ASSOCIATES AGRIMALL,MOUZA THATTA KANJOAN OM VINNEKY ALIPUR CHATTA JALALPUR ROAD,,127.75,117.09,Hafizabad,,Punjab,Punjab
4192,DAWOOD F/S.,CHAWINDA-KINGRA ROAD,,127.87,117.21,SIALKOT,,Punjab,Punjab
4193,SINDHU F/S (EX FAISAL AMAN F/S.),NOWSHERA ROAD,,127.77,117.11,Nowshera ,,KPK,Punjab
4198,AL WHAB PETROLIUM SERVICE,PASROOR BYPASS SIALKOT ROAD,,127.78,117.12,SIALKOT,,Punjab,Punjab
4201,MADINA FILLING STATION,WAZIRABAD ROAD,,127.80,117.14,Gujranwala,,Punjab,Punjab
4206,BASHIR & SONS FILLING STATION,PINDI BHATIAN LAHORE ROAD,,127.76,117.10,Hafizabad,,Punjab,Punjab
4208,SM PETROLEUM SERVICE,KM 3-4 FROM CHINA CHOWK ON SIALKOT WAZIRABAD ROAD,,127.86,117.20,SIALKOT,,Punjab,Punjab
4211,MAKKAH PETROLEUM SERVICE,HAFIZABAD PINDI BHATTIAN ROAD,,127.75,117.09,Hafizabad,,Punjab,Punjab
4215,SOLEHRY PETROLEUM SERVICE,SIALKOT KANGRA ROAD,,128.11,117.45,SIALKOT,,Punjab,Punjab
4226,MALIK FILLING STATION,SIALKOT DASKA ROAD,,127.86,117.20,SIALKOT,,Punjab,Punjab
4231,CH. REHMAT BAJWA F/S,GUJRANWALA - PASRUR ROAD,,128.04,117.38,Gujranwala,,Punjab,Punjab
4243,TALVANDI AGRIMALL,KM 8 FROM  PASRUR KALASWALA ROAD,,128.04,117.38,SIALKOT,,Punjab,Punjab
4249,MADINA FILLING STATION,"SURVEY NO.97-28 98/3 JHOL-SHAHDADPUR, JHOL TANDO ADAM ROAD",,128.13,117.47,Sanghar,,Sindh,Punjab
4254,ZAHRI PETROLEUM,NAWABSHAH TO DAUR ROAD,,127.75,117.09,Shaheed Benazirabad,,Sindh,Punjab
4269,SYED PETROLEUM SERVICE,SANGHAR SINDRI ROAD,,128.13,117.47,Sanghar,,Sindh,Punjab
4281,JATOI TRUCKING STN,MILE-5/1-2 HYD-T M KHAN - HYDERABAD ROAD,,128.29,117.63,hyderabad,,Sindh,Punjab
4344,FAYAZ PET SERVICE,"B/W  KM 0-1 ,NUSRAT ROAD",,127.75,117.09,Multan,,Punjab,Punjab
4375,DAHRI PET.SERVICE,KM 1/0 & 2/0 ON SHAH PUR CHAKAR MAQSOOD RIND ROAD,,127.89,117.23,Sanghar,,Sindh,Punjab
4377,SUPER BHITAI PET.SER.,AT MILE 17/5 ON SANGHAR TANDO MITHA KHAN ROAD,,128.32,117.66,Sanghar,,Sindh,Punjab
4380,JUNAID ABBAS PET.SERV.,B/W KM 13/14 ON NAWABSHAH DAUR ROAD,,127.75,117.09,Shaheed Benazirabad,,Sindh,Punjab
4382,IMRAN P/S,TANDO ADAM/T.ALLAHYAR ROAD,,128.17,117.51,Sanghar,,Sindh,Punjab
4387,MUJAHID HUSSAIN P/S,AT KM-31/32 AT LEFT SIDE OF T.A.YAR/ MIR PUR KHAS ROAD,,128.85,118.19,Tando Allahyar,,Sindh,Punjab
4391,SAKHI P/S,KM - 0/1 ON GHULAB LAGHARI/SHAIKH BHIRKIO ROAD,,128.70,118.04,Badin,,Sindh,Punjab
4397,SAADAT FILLING STN,"B/W MILE 2/0, BADIN/GOLARCHI ROAD",,128.81,118.15,Badin,,Sindh,Punjab
4410,ZAUR PET/SER,SHEIKH BIRKIO TO HYDERABAD ROAD,,128.48,117.82,hyderabad,,Sindh,Punjab
4417,SHORO P/S,"PATHAN GOTH, SANGHAR-TANDO ADAM ROAD",,128.23,117.57,Sanghar,,Sindh,Punjab
4418,SUPER STAR F/S,SITE AREA TANDO MOHD KHAN ROAD,,128.53,117.87,Tando Muhammad Khan,,Sindh,Punjab
4425,M.WAHID P/S.,SITUATED ON HAJI SAWAN TO MATLI-DIGRI ROAD,,128.91,118.25,Badin,,Sindh,Punjab
4426,HAMZO FAQIR,ON KHIPRO BY PASS CHHOR ROAD,,128.52,117.86,Badin,,Sindh,Punjab
4429,"SHAHEEN , PETARO",AT JUNCTION OF PETARO ROAD,,128.56,117.90,Jamshoro,,Sindh,Punjab
4441,AL HAFEEZ,BADIN ROAD,,128.91,118.25,Badin,,Sindh,Punjab
4444,MUHAMMAD SATHIO P/S.,T.M KHAN -BULRI SHAH KARIM ROAD,,128.80,118.14,Tando Muhammad Khan,,Sindh,Punjab
4447,IQBAL P/S,TANDO ALLAHYAR- MIRPURKHAS ROAD,,128.85,118.19,Tando Allahyar,,Sindh,Punjab
4461,MARVI PET SERVICE,MIRPURKHAS-UMERKOT ROAD,,128.63,117.97,mirpurkhas,,Sindh,Punjab
4465,NEW AWAIS PETROLEUM SERVICE,OLD INDUS HIGHWAY NEAR MOUNDAR ROAD,,127.75,117.09,,,Missing,Punjab
4469,AL-BASIT P/S,AT MILE 11/2 ON SANGHAR TO SHAHDADPUR ROAD,,129.25,118.59,Sanghar,,Sindh,Punjab
4481,CHAND PET SERVICE,GULSHAN-E-SHABAZ-KOTRI DADU ROAD,,128.56,117.90,Jamshoro,,Sindh,Punjab
4497,MUNAWAR P/S,NABISAR ROAD,,129.18,118.52,Umerkot,,Sindh,Punjab
4498,SHAH PET: SERVICE,"AT MILE 39/2, MIRPURKHAS/HYDERABAD ROAD",,128.63,117.97,Tando Allahyar,,Sindh,Punjab
4506,PASWAL  PETROLEUM,BAGGA JHELUM PD KHAN ROAD,,127.75,117.09,jhelum,,Punjab,Punjab
4533,RATHAVI FILL STATION,ON MIRPUR DHUDIAL KOTLI ROAD,,127.26,116.60,Mirpur AJK,,AJK,Punjab
4614,BASHIR (EX-BUTT ) PET.SERVICE,KM 63 / 64 ON GUJRAT -SARGODHA ROAD,,127.75,117.09,Mandi Baha-ud-Din,,Punjab,Punjab
4624,AL-JALAL PETROLEUM,KM 17-18 MIRPUR BHIMBER ROAD,,127.26,116.60,Mirpur AJK,,AJK,Punjab
4625,SINDHU FILLING STATION,B/W KM 23/23 GUJRAT  PHALIA -SAMA ROAD,,127.75,117.09,Gujrat,,Punjab,Punjab
4626,CH. AKRAM PET.,"USMA, PD KHAN ROAD",,127.95,117.29,jhelum,,Punjab,Punjab
4632,FIVE STAT PET.SERVICE,BW KM 6/7 ON DINA-MANGLA ROAD,,127.75,117.09,jhelum,,Punjab,Punjab
4633,BUTT FILLING STATION,KUTHIALA-SHIEKHAN ROAD,,127.81,117.15,Mandi Baha-ud-Din,,Punjab,Punjab
4634,POLICE WELFARE FILLING STATION,SECTOR B 5 KHAMBAL AKBAR ROAD,,127.26,116.60,Mirpur AJK,,AJK,Punjab
4645,AHMED SERVICE STATION,DADABHOY NOROJI ROAD AKASHMIR ROAD,,127.75,117.09,karachi,,Sindh,Punjab
4688,JAUHAR AUTOS,SHABBIRABAD KCHS UNION  LTD JAUHAR ROAD,,127.75,117.09,karachi,,Sindh,Punjab
4752,HOOR PETROLEUM SERVICE,JM-4/734 JAMSHAID  ROAD,,127.75,117.09,karachi,,Sindh,Punjab
4757,2F PETROLEUM SERVICE,"PLOT # 24, JHANGIR ROAD",,127.75,117.09,Rawalpindi,,Punjab,Punjab
4779,AWAMI FILLING STATION,"AT GATE NO.2 KARACHI UNIVERSITY, UNIVERSITY ROAD",,127.75,117.09,karachi,,Sindh,Punjab
4788,DALMIA,"SURVEY NO. 314, MAJEED SRE, PNS BAHADUR, DALMIA ROAD",,127.75,117.09,karachi,,Sindh,Punjab
4796,IQBAL F/S & CNG,COAST GUARD HQ. KEYANI SHAHEED ROAD,,127.75,117.09,karachi,,Sindh,Punjab
4806,PM PETROLEUM SERVICE,SAJAWAL BADIN ROAD,,128.17,117.51,Thatta,,Sindh,Punjab
4809,SAFA SERVICE STATION,M.A JINNAH ROAD,,127.75,117.09,karachi,,Sindh,Punjab
4814,BAHRIA FILLING STATION -II,"JBCHS, HAWKS BAY ROAD",,127.75,117.09,karachi,,Sindh,Punjab
4815,BAHRIA FILLING STATION -I,"KBCHS, HUB RIVER ROAD",,127.75,117.09,karachi,,Sindh,Punjab
4849,MAURIPUR FILL STN,MAURI PIUR ROAD,,127.75,117.09,karachi,,Sindh,Punjab
4938,IMPERIAL GASOLINE,15/16 DOGRA-E- KHUURD BARKI ROAD,,127.95,117.29,Lahore,,Punjab,Punjab
4996,USMAN FIILING,TOWN SHIP PECO ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5015,UMAR T/S,MURIDKEY NAROWAL ROAD,,127.75,117.09,Sheikhupura,,Punjab,Punjab
5016,MAGIC RIVER F/S.,THOKAR NIAZ BAIG MULTAN ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5019,BHATTI TRUCKING,LAHORE SHAIKHUPURA ROAD,,127.75,117.09,Sheikhupura,,Punjab,Punjab
5020,DUBAI F/S,KM 28-29 LHR-RAIWIND ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5021,MOZANG F/S.,MOZANG ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5022,LILYANI,FEROZPUR ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5029,BUSHRA NUSHEEN,SHEIKHUPURA ROAD,,127.75,117.09,Sheikhupura,,Punjab,Punjab
5031,AL-QADIR F/S.,FAISALABAD  SHEIKHUPURA ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
5035,MODERN F/S.,KM 59 & 58 LHR / GRW G.T. ROAD,,127.75,117.09,Gujranwala,,Punjab,Punjab
5036,TAJPURA P/S.,TAJPURA APPROACH ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5041,SUNDER ESTATE,SUNDAR RAIWIND ROAD,,127.80,117.14,Lahore,,Punjab,Punjab
5043,SADIQ F/S,PLOT # 51 FAISLABAD SHEIKHUPURA ROAD,,127.75,117.09,FAISALABAD,,Punjab,Punjab
5044,AL MERAJ PETROLEUM,PSO DEALERS MILE 8/2 MULTAN ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5047,AFTAB GILLANI F/S,BHAGHAT PURA  BUND ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5050,AL MUNAWAR,POLT # 776 -778 /2372 BEDIAN ROAD,,128.02,117.36,Lahore,,Punjab,Punjab
5052,TEHSIN P/S.,4 KM MANAWALA NANKANA ROAD,,127.85,117.19,Sheikhupura,,Punjab,Punjab
5057,KISSAN AGRIMALL,KHUDDIAN- CHUNIAN ROAD,,128.31,117.65,kasur,,Punjab,Punjab
5060,MANAWALA S/S,172 KM FROM MANAWALA SKP FSD ROAD,,127.85,117.19,Sheikhupura,,Punjab,Punjab
5075,NOMAN F/S,DAROGAWAL BUND ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5084,CH. ASGHAR F/S,"PLOT # 1471-1473, BURKI VILLAGE BURKI ROAD",,127.75,117.09,Lahore,,Punjab,Punjab
5086,QAZI SADIQ F/S.,156-MULTAN ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5100,JUTT F/S,FAIZPUR KHURD JARANWALA ROAD,,127.75,117.09,Sheikhupura,,Punjab,Punjab
5108,CORAL GAS,51-A JAIL ROAD,,127.77,117.11,Lahore,,Punjab,Punjab
5110,GASTEC PS & CNG,"MOUZA BEGAMPURA, NEAR SINGHPURA MOOR STOP GT ROAD",,127.75,117.09,Lahore,,Punjab,Punjab
5111,BISMILLAH F/S.,"PLOT#484, SUNDER RAIWAND ROAD",,127.75,117.09,Lahore,,Punjab,Punjab
5118,GREEN VIEW F/S,PLOT #.5 BLOCK-Q  MODEL TOWN EXTENSION LINK ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
5120,NATIONAL F/S,1.95 KM FROM DROGHAWALA ON WAGHA LAHORE GT ROAD,,127.75,117.09,Lahore,,Punjab,Punjab
