,,,,Pump Price Rs/ Liter,,,,,
S.No,Customer Name,Address,City/Location,HSD,PMG,District,District 1,Province,Province
1128,USMAN F/S,"At Mouza Qamrooti, 21-K.M From Kotli, On Kotli - Fatehpur - Nakyal Road, Tehsil & District Kotli (AK).",,127.26,116.60,AJK,AJK,AJK,AJK
1736,AL MADINA FILLING STATION,Mouza Barali Had Bast No 155 Kahuta Kotli Road Tehsil Kotli District AJK,,127.26,116.60,AJK,AJK,AJK,AJK
1823,FAIZAN FILLING STATION,Doongi Khoi Ratta Road Kotli Azad Kashmir,,127.26,116.60,AJK,AJK,AJK,AJK
1859,IBRAHIM FILLING STATION,"PO Khuiratta bypass, District Kotli, Azad Kashmir",,127.26,116.60,AJK,AJK,AJK,AJK
2895,Nakyal F/s.,"Fatehpur Kotli, AJK",AJK,127.26,116.60,AJK,AJK,AJK,AJK
2896,Gate Way Filling Station,"Kotli, Azad kashmir",AJK,127.26,116.60,AJK,AJK,AJK,AJK
8184,Haider Filling Station,"By Bass Road, Kotli Azad Kashmir",Azad Kashmir,127.30,116.60,AJK,AJK,AJK,AJK
8316,AL-MADINA F/S SEHNSA,"KALOD DAKHANA, BHIRIND BHATTA",KOTLI,127.30,116.60,AJK,AJK,AJK,AJK
8384,W AQAS PETROLEUM,MAIN KOTLI SARSAW A ROAD,KOTLI,127.30,116.60,AJK,AJK,AJK,AJK
8458,HASSAN F/S SARSAW A,SARSAW A KOTLI ROAD,SARSAW A,127.30,116.60,AJK,AJK,AJK,AJK
8556,MUNIR F/S,"CHAROI ROAD, KOTLI",CHAROI,127.30,116.60,AJK,AJK,AJK,AJK
9883,Akbar Petroleum Service Kotli (Charhoi),,Kotli,127.26,116.60,AJK,AJK,AJK,AJK
9884,Kareem Petroleum Services Kotli,,Khui Ratta,127.26,116.60,AJK,AJK,AJK,AJK
9885,Kayani Filling Station Kotly,,Kotli,127.26,116.60,AJK,AJK,AJK,AJK
9886,Muhammadi Petroleum Services Sehnsa,,Sehnsa,127.26,116.60,AJK,AJK,AJK,AJK
9887,Rashid Filling Station Gulpur City,,Gulpur,127.26,116.60,AJK,AJK,AJK,AJK
9888,Razi Filling Station Kotli,,Kotli,127.26,116.60,AJK,AJK,AJK,AJK
7327,ASHFAQ FILLING STATION,KOTLI ROAD,KOTLI,127.26,116.60,AJK,AJK,AJK,AJK
7548,JJ PETROLEUM SERVICE,KOTLI ROAD,KOTLI,127.26,116.60,AJK,AJK,AJK,AJK
7570,KASHMIRWALA FILLING STATION,KOTLI ROAD,KOTLI,127.26,116.60,AJK,AJK,AJK,AJK
7600,KOTLI FILLING STATION,PINDI KOTLI ROAD,KOTLI,127.26,116.60,AJK,AJK,AJK,AJK
9167,CALTEX WAQAS PETROLEUM,MAIN KOTLI SARSAWA ROAD,KOTLI,87.11,77.79,AJK,AJK,AJK,AJK
9327,AL-MADINA F/S SEHNSA,"KALOD DAKHANA, BHIRIND BHATTA",KOTLI,87.11,77.79,AJK,AJK,AJK,AJK
6079,MALIK PETROLEUM SERVIC,E-KM 2/3 BYEPASS  PINDI ROAD KOTLI (A.K)  KOTLI,,127.26,116.60,AJK,AJK,AJK,AJK
1663,GORSI FILLING STATION - N,Khui Ratta on kotli Road Tehsil: District : Kotli (Azad Kashmir ).,,128.01,117.35,AJK,AJK,AJK,AJK
9549,Gorsi Filling Station,"Gayani PO Khoirata, Tehsi Kotli, AJK",Morgah,72.52,64.27,AJK,AJK,AJK,AJK
8188,Jabeer Filling Station,"Jabeer Filling Station, Mirpur Mangla Road Near PSO station, Tehsil & Distt Mir Pur",Azad Kashmir,127.30,116.60,AJK,AJK,AJK,AJK
30,AL SAIF PETROELUM SERVICES,"Mouza Sunkyah, B/W 39-40Km from Jehlum on Mirpur-Chichian Road, Tehsil Mirpur Azad Kashmir",Mirpu A. K.,85.95,77.47,AJK,AJK,AJK,AJK
